"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,410836,"Meadow Lake","CO","Denver-Aurora-Lakewood","Jefferson County","Arvada",6569,427700,0.0021087160262418,0.00493421052631579,0.0318455971049457,0.0911609692892175,0.0621658624829708,"2019-03","2019-Q1",428900,-0.00279785497785031,"2019-03"
2019-09-30,271340,"Crown Meadows","TX","San Antonio-New Braunfels","Bexar County","San Antonio",6570,171700,0.00292056074766355,0.0189910979228487,0.052728387492336,0.0744599262743426,0.0391026283383009,"2019-09","2019-Q3",171700,0,"2019-09"
2019-09-30,155007,"Merrymount","MA","Boston-Cambridge-Newton","Norfolk County","Quincy",6571,565900,0.0089142449634516,0.0192723342939481,0.0324758255792739,0.0671998643296201,0.0485939964072613,"2019-09","2019-Q3",565900,0,"2019-09"
2019-09-30,417475,"Brandon Forest","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",6572,183200,0.00383561643835616,0.00992282249173098,0.0620289855072464,0.0731721271667609,0.034899582403916,"2019-09","2019-Q3",183200,0,"2019-09"
2019-09-30,762082,"Glenview Heights","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Wauwatosa",6573,277300,-0.00716075904045829,-0.0300804477089892,-0.0222143864598025,0.0418536743983533,0.0219861962834431,"2019-03","2019-Q1",287900,-0.0368183397012852,"2017-12"
2019-09-30,761977,"Riverside Drive Park","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Jupiter",6574,340500,0.00650310375406444,0.0249849488260084,0.0983870967741936,0.095705071877455,0.0739055280327616,"2019-09","2019-Q3",340500,0,"2019-09"
2019-09-30,761139,"Eastside-Willowbrook","MD","Cumberland","Allegany County","Cumberland",6575,53200,0.00377358490566038,0.0879345603271984,0.211845102505695,-0.0130102117721644,-0.0207337673513844,"2007-02","2007-Q1",72200,-0.263157894736842,"2005-07"
2019-09-30,738006,"Los Cerritos","CA","Sacramento--Roseville--Arden-Arcade","Placer County","Roseville",6576,350500,0.000285388127853881,0.00458584121524792,0.0320965842167256,0.0869641198651643,0.0678479403727068,"2019-03","2019-Q1",350900,-0.00113992590481619,"2019-03"
2019-09-30,763754,"Farview","MO","Kansas City","Jackson County","Independence",6577,101800,-0.00391389432485323,-0.00098135426889107,0.00295566502463054,0.0509582291271142,0.0191628125685557,"2007-05","2007-Q2",107100,-0.0494864612511671,"2006-10"
2019-09-30,127423,"Brookwood","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",6578,292000,0.00274725274725275,0.00793924749741112,0.0469702402294729,0.0714365647867992,0.0382060322041318,"2019-04","2019-Q2",292400,-0.00136798905608755,"2019-04"
2019-09-30,223421,"Sunset","UT","Provo-Orem","Utah County","Provo",6579,318800,0.00726698262243286,0.0198336532309661,0.11938202247191,0.107427428614138,0.0542877327098408,"2019-09","2019-Q3",318800,0,"2019-09"
2019-09-30,197207,"Pitcher","MO","Kansas City","Jackson County","Independence",6580,123900,0.0147420147420147,0.0368200836820084,0.013911620294599,0.0857894807620627,0.015917786335538,"2019-09","2019-Q3",123900,0,"2019-09"
2019-09-30,272076,"Copernicus Park","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",6581,191900,0.0026123301985371,0.00893796004206099,0.0549752611324904,0.0530411782421851,0.0128486008928317,"2019-09","2019-Q3",191900,0,"2019-09"
2019-09-30,181516,"Fisher Park","NC","Greensboro-High Point","Guilford County","Greensboro",6582,274800,0.00622482607103625,0.0492554410080183,0.0870253164556962,0.0434088950462641,0.0355386085457572,"2019-09","2019-Q3",274800,0,"2019-09"
2019-09-30,269938,"Wyman Park","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",6583,272400,-0.0112522686025408,-0.0418571931058741,-0.040169133192389,0.0255645220588581,0.0122807758830157,"2007-04","2007-Q2",294700,-0.0756701730573465,"2005-09"
2019-09-30,761909,"English Ranch","CO","Fort Collins","Larimer County","Fort Collins",6584,449400,0.0020066889632107,-0.000222469410456062,0.0222929936305732,0.0669644301896113,0.0493902095487386,"2019-03","2019-Q1",453700,-0.00947762838880317,"2019-02"
2019-09-30,417082,"Brighton","CA","Bakersfield","Kern County","Bakersfield",6585,424300,0.00545023696682464,0.0231492645285749,0.0796437659033079,0.0188369960637096,0.0201389422195817,"2006-10","2006-Q4",546400,-0.223462664714495,"2005-03"
2019-09-30,762222,"Admirals Cove","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Jupiter",6586,1858300,-0.00236216245235411,0.00677213132517066,0.0530401768005893,0.0538535370278928,0.045754973280427,"2019-08","2019-Q3",1862700,-0.00236216245235411,"2019-08"
2019-09-30,403372,"Beverly Woods","IL","Chicago-Naperville-Elgin","Cook County","Chicago",6587,222200,0.0104592996816735,0.0363805970149254,0.154285714285714,0.0518181305988719,0.017016451424958,"2006-05","2006-Q2",253600,-0.123817034700315,"2005-07"
2019-09-30,268163,"Foothill Square","CA","San Francisco-Oakland-Hayward","Alameda County","Oakland",6588,511200,0.00117508813160987,-0.0125555340931041,-0.0656187168707732,0.0771140909786086,0.0949344373892984,"2018-09","2018-Q3",547100,-0.0656187168707732,"2017-11"
2019-09-30,737947,"New Sherwood Forest","NC","Winston-Salem","Forsyth County","Winston-Salem",6589,346200,-0.00115406809001731,-0.0037410071942446,0.0288261515601783,0.0250605441578704,0.0108125704231881,"2019-06","2019-Q2",347500,-0.0037410071942446,"2019-05"
2019-09-30,274580,"Montecito Park","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Glendale",6590,1014800,0.000788954635108481,0.00128268376911692,-0.0281555257613484,0.054798572379136,0.0487108536264496,"2019-01","2019-Q1",1054500,-0.0376481744902798,"2018-04"
2019-09-30,403402,"West Paces Ferry - Northside","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",6591,1002500,-0.00821131776810447,-0.0585086401202104,-0.110706999024217,0.0508267214090761,0.0243805598892277,"2019-02","2019-Q1",1148600,-0.127198328399791,"2017-12"
2019-09-30,738070,"Forest Highlands","OR","Portland-Vancouver-Hillsboro","Clackamas County","Lake Oswego",6592,813600,-0.00110497237569061,-0.0035517452541335,-0.0534031413612565,0.0833555649793734,0.0357524270050347,"2018-03","2018-Q1",934800,-0.129653401797176,"2017-05"
2019-09-30,275987,"West Shore Palms","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",6593,286300,0.00315346881569727,-0.00762564991334489,-0.0103698582786035,,,"2019-02","2019-Q1",290400,-0.0141184573002755,"2018-08"
2019-09-30,422789,"Eagle Ranch","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",6594,254900,0.00354330708661417,0.00512618296529968,-0.000784006272050176,0.0650533880547073,0.0373801022219233,"2019-03","2019-Q1",257900,-0.0116324156649864,"2018-09"
2019-09-30,762788,"Atkinson Park","OK","Oklahoma City","Oklahoma County","Midwest City",6595,86000,0.0153482880755608,0.0630407911001236,0.186206896551724,0.0521424024142887,0.0161070103281193,"2019-09","2019-Q3",86000,0,"2019-09"
2019-09-30,18662,"Huntington Bay","NY","New York-Newark-Jersey City","Suffolk County","Huntington",6596,968500,-0.00236918005768438,-0.0216183452874028,0.149418466650843,0.0170491090216849,-0.0221136673475304,"2006-09","2006-Q3",1447200,-0.330776672194583,"2002-11"
2019-09-30,168193,"Oakwood","MI","Kalamazoo-Portage","Kalamazoo County","Kalamazoo",6597,104000,0.00970873786407767,0.00872938894277401,0.202312138728324,0.106504436843226,0.0273567617923007,"2019-03","2019-Q1",105100,-0.0104662226450999,"2019-03"
2019-09-30,761905,"Rossborough","CO","Fort Collins","Larimer County","Fort Collins",6598,360600,0.00445682451253482,0.0100840336134454,0.039193083573487,0.0930629034172017,0.0643375559681527,"2019-03","2019-Q1",364900,-0.0117840504247739,"2019-02"
2019-09-30,268477,"Slide Hill Park","CA","Sacramento--Roseville--Arden-Arcade","Yolo County","Davis",6599,594000,-0.003690036900369,-0.0305206463195691,-0.0219002140622427,0.0468318470839499,0.0346804744311946,"2019-03","2019-Q1",632400,-0.0607210626185958,"2018-08"
2019-09-30,260524,"Sierra Vista","CA","Sacramento--Roseville--Arden-Arcade","Placer County","Roseville",6600,343600,0.00644405389572349,0.0132704217045119,0.03743961352657,0.0778408825399703,0.0628393578367097,"2006-01","2006-Q1",344000,-0.00116279069767442,"2005-12"
2019-09-30,268166,"Freeport Manor","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Sacramento",6601,255800,-0.0104448742746615,-0.0325264750378215,0.00313725490196078,0.14251269648182,,"2019-05","2019-Q2",264700,-0.03362296939932,"2018-11"
2019-09-30,149393,"Prestonia","KY","Louisville/Jefferson County","Jefferson County","Louisville",6602,127400,0.00631911532385466,0.0249396621078037,0.0599001663893511,0.0792698254037134,0.0334274883060584,"2019-09","2019-Q3",127400,0,"2019-09"
2019-09-30,761372,"Holbrok Park","CO","Denver-Aurora-Lakewood","Jefferson County","Lakewood",6603,452800,0.0051054384017758,0.0138826690550828,0.0544946436888682,0.0833734004224087,0.0655394112278058,"2018-03","2018-Q1",457100,-0.00940713191861737,"2018-03"
2019-09-30,753828,"Wissahickon Hills","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",6604,246800,0,-0.00443727309398951,-0.00242522231204527,0.0277809829700653,0.00760175096470972,"2019-02","2019-Q1",252600,-0.0229612034837688,"2018-06"
